16,4.4000000000000002e-07
32,4.9399999999999995e-07
64,4.6600000000000002e-07
128,4.9200000000000001e-07
256,4.5299999999999999e-07
512,6.4199999999999995e-07
1024,7.9599999999999998e-07
2048,4.3320000000000002e-06
4096,1.6497000000000001e-05
8192,2.1719e-05
16384,5.1196000000000002e-05
32768,9.6966000000000006e-05
65536,0.000202074
131072,0.00039129699999999998
262144,0.00078724700000000003
524288,0.001634047
1048576,0.0037737550000000002
2097152,0.0072696929999999998
4194304,0.014084617000000001
